bc2021,bc_naam,mbc,mbc_code,pDiscr,gini_inc_st,avg_inc,sh_housow1,sh_housow3,simp_educ,simp_motive,simp_conbirth,median_inc,totalhh,sh_housow2,sh_housow8,avg_welfare,sh_welf1,sh_welf2,sh_welf3,sh_welf4,sh_welf5,sh_educ1,sh_educ3,sh_educ4,sh_educ5,sh_educ6,sh_recent,sh_stat1,sh_stat2,sh_stat3,sh_stat4,sh_stat5,totalpop,N_conbirth,forborn_sh,NLbornbur,abs_disrep,gini_inc_st_norm,avg_inc_norm,sh_housow1_norm,sh_housow3_norm,simp_educ_norm,simp_motive_norm,simp_conbirth_norm,pDiscr_norm
5991284,Lombardijen,Lombardijen,1,0.16,0.261,24151.03,0.29,0.33,0.62,0.64,0.55,21093,7057,0.34,0.03,16,0.72,0.06,0.07,0.05,0.09,0.2,0.56,0.05,0.14,0.05,0.05,0.52,0.09,0.04,0.28,0.07,14222,146,0.33,9467,14,2,2,2,2,2,2,2,2
5990325,Middelland,Middelland,1,0.12,0.337,26260.58,0.29,0.24,0.77,0.73,0.58,22873.5,6378,0.46,0.01,11,0.81,0.05,0.04,0.03,0.07,0.14,0.31,0.07,0.24,0.24,0.06,0.42,0.2,0.17,0.1,0.1,12015,162,0.36,7729,16,2,2,2,2,3,3,2,2
5990665,Molenlaankwartier,Molenlaankwartier,1,0.06,0.4,49896.07,0.69,0.08,0.71,0.6,0.23,38749.5,3506,0.18,0.04,4,0.92,0.03,0.02,0.01,0.02,0.05,0.17,0.07,0.36,0.35,0.03,0.56,0.29,0.08,NA,0.06,8251,92,0.12,7255,5,3,3,3,1,2,2,1,1
5991468,Nesselande,Nesselande,1,0.11,0.276,39459.02,0.74,0.07,0.71,0.66,0.26,36285,4601,0.17,0.02,5,0.89,0.05,0.03,0.01,0.02,0.05,0.36,0.05,0.34,0.2,0.01,0.53,0.15,0.11,0.16,0.05,12783,103,0.14,11020,17,2,3,3,1,2,2,1,2
5990836,Nieuw Crooswijk,Nieuw Crooswijk,1,0.14,0.336,26826.74,0.2,0.32,0.76,0.69,0.45,21724,1647,0.47,0.01,15,0.75,0.05,0.06,0.05,0.08,0.14,0.32,0.07,0.25,0.22,0.04,0.48,0.16,0.08,0.21,0.08,3430,100,0.26,2532,7,2,2,2,2,3,2,2,2
5991926,Nieuw Mathenesse,Nieuw Mathenesse,1,NA,0.355,21669.39,0.07,0.18,0.69,0.59,0.95,21485,186,0.75,NA,4,0.91,NA,NA,NA,NA,NA,0.12,0.1,0.36,0.39,0.21,0.14,0.21,0.59,NA,0.06,654,85,0.86,90,16,2,2,1,2,2,2,3,NA
5990118,Nieuwe Werk,Nieuwe Werk/Dijkzigt,3,0.1,0.532,45221.54,0.44,0.15,0.65,0.72,0.46,30835,1172,0.41,NA,2,0.95,0.02,0.01,NA,0.02,NA,0.12,0.08,0.32,0.48,0.07,0.3,0.33,0.27,NA,0.07,2087,88,0.27,1529,16,3,3,2,2,2,2,2,2
5990324,Nieuwe Westen,Nieuwe Westen,1,0.21,0.323,23780.04,0.24,0.31,0.77,0.67,0.61,20287.5,9412,0.43,0.02,16,0.74,0.06,0.06,0.05,0.09,0.2,0.32,0.09,0.2,0.19,0.04,0.52,0.15,0.13,0.12,0.08,19508,177,0.39,11929,16,2,2,2,2,3,2,2,3
5990452,Noord Kethel,NoordKethel/Schieveen/Zestienhoven,6,0.08,0.263,36470.94,0.74,NA,0.63,NA,0.09,39341,34,NA,NA,4,0.85,NA,NA,NA,NA,NA,0.42,NA,0.4,0.19,NA,NA,NA,NA,NA,NA,65,4,NA,62,3,2,3,3,NA,2,NA,1,1
5991088,Noordereiland,Noordereiland,1,0.15,0.299,28810.34,0.31,0.26,0.76,0.72,0.45,25108,1925,0.42,0.01,13,0.79,0.05,0.05,0.04,0.08,0.3,0.27,0.04,0.2,0.18,0.04,0.44,0.2,0.11,0.18,0.07,3358,109,0.26,2491,20,2,2,2,2,3,2,2,2
