Jaartal,Postcode,"Nederlandse
achtergond","Westerse
migratie
achtergrond","Niet-westerse
migratie
achtergrond"
2020,3607,80,10,10
2020,3608,80,10,10
2020,3611,90,10,0
2020,3612,90,10,0
2020,3615,90,0,0
2020,3621,80,10,10
2020,3625,80,20,0
2020,3626,90,10,0
2020,3628,90,10,0
2020,3631,80,10,10
2020,3632,80,10,10
2020,3633,90,10,0
2020,3634,90,10,0
2020,3641,80,10,10
2020,3642,80,10,10
2020,3643,90,10,10
2020,3645,90,10,10
2020,3646,90,10,0
2020,3648,90,10,10
2020,3652,90,10,0
2020,3701,80,10,10
2020,3702,80,10,10
2020,3703,70,10,20
2020,3704,70,10,20
2020,3705,80,10,10
2020,3706,50,10,40
2020,3707,80,10,10
2020,3708,80,10,10
2020,3709,80,20,0
2020,3711,90,10,0
2020,3712,80,10,10
2020,3721,80,10,20
2020,3722,80,10,10
2020,3723,80,10,10
2020,3731,80,10,10
2020,3732,80,10,10
2020,3734,80,10,10
2020,3735,80,10,0
2020,3737,90,10,0
2020,3738,90,10,0
2020,3739,80,10,0
2020,3741,80,10,10
2020,3742,80,10,10
2020,3743,80,10,10
2020,3744,80,10,0
2020,3749,80,10,0
2020,3751,90,10,0
2020,3752,90,10,10
2020,3754,100,0,0
2020,3755,90,10,10
2020,3761,90,10,0
2020,3762,80,10,10
2020,3763,80,10,10
2020,3764,70,10,20
2020,3765,60,10,30
2020,3766,80,10,10
2020,3768,90,10,0
2020,3769,80,10,10
2020,3771,90,0,0
2020,3772,90,0,10
2020,3773,90,0,0
2020,3774,100,0,0
2020,3776,90,0,0
2020,3781,90,0,0
2020,3784,90,0,0
2020,3785,90,0,0
2020,3791,90,0,0
2020,3794,90,0,10
2020,3811,80,10,10
2020,3812,80,10,10
2020,3813,70,10,20
2020,3814,50,10,40
2020,3815,60,10,40
2020,3816,60,10,30
2020,3817,80,10,10
2020,3818,80,10,10
2020,3819,60,10,30
2020,3821,70,10,20
2020,3822,80,10,10
2020,3823,80,10,10
2020,3824,80,10,10
2020,3825,70,10,20
2020,3826,70,10,20
2020,3828,90,10,0
2020,3829,80,10,10
2020,3831,80,10,10
2020,3832,90,10,10
2020,3833,80,10,10
2020,3834,80,10,10
2020,3835,90,0,0
2020,3841,90,10,10
2020,3842,70,10,20
2020,3843,70,10,30
2020,3844,80,10,10
2020,3845,80,10,10
2020,3846,80,10,10
2020,3847,90,10,0
2020,3848,90,10,10
2020,3849,90,10,0
2020,3851,90,10,0
2020,3852,90,10,0
2020,3853,90,10,10
2020,3861,90,10,10
2020,3862,90,0,10
2020,3863,90,10,10
2020,3864,90,0,0
2020,3871,90,10,0
2020,3881,90,0,0
2020,3882,90,0,0
2020,3886,90,0,0
2020,3888,100,0,0
2020,3891,80,10,10
2020,3892,80,10,10
2020,3893,80,10,10
2020,3894,80,10,10
2020,3896,90,0,0
2020,3899,70,10,20
2020,3901,70,10,20
2020,3902,80,10,20
2020,3903,90,10,10
2020,3904,80,10,10
2020,3905,80,10,10
2020,3906,90,10,0
2020,3907,80,0,10
2020,3911,90,10,10
2020,3912,90,10,10
2020,3921,90,0,0
2020,3922,90,0,0
2020,3925,90,0,0
2020,3927,90,0,0
2020,3931,90,0,10
2020,3941,80,10,10
2020,3945,90,0,0
2020,3947,90,0,0
2020,3951,90,10,0
2020,3953,90,10,10
2020,3956,80,10,10
2020,3958,90,10,0
2020,3959,90,10,0
2020,3961,90,10,10
2020,3962,90,10,10
2020,3971,90,10,0
2020,3972,80,10,10
2020,3981,80,10,10
2020,3984,90,10,10
2020,3985,90,10,0
2020,3991,80,10,10
2020,3992,90,10,10
2020,3993,80,10,10
2020,3994,80,10,10
2020,3995,70,10,20
2020,3997,90,0,0
2020,3998,90,0,0
2020,3999,90,0,0
